姓名,籍贯,省份,城市,身份标签,严重度,恶性事件类型,涉及事件名称,罪行摘要,恶性事件详情,结局
李守信,热河,河北,,[伪蒙古军总司令，总部常驻厚和；指挥伪蒙古骑兵围剿大青山支队，制造多起村庄惨案，捕杀地下交通人员，强征鸦片劳工。],HIGH,惨案、围剿,制造多起村庄惨案,伪职：伪蒙古军总司令，总部常驻厚和；指挥伪蒙古骑兵围剿大青山支队，制造多起村庄惨案，捕杀地下交通人员，强征鸦片劳工。；结局：1950 引渡回国，1964 特赦，1970 呼和浩特去世,指挥伪蒙古骑兵围剿大青山支队，制造多起村庄惨案，捕杀地下交通人员，强征鸦片劳工。,1950 引渡回国，1964 特赦，1970 呼和浩特去世
李少白,贵池城关,安徽,池州,[贵池伪特务],HIGH,惨案,酿成十八人被杀惨案,伪职：贵池伪特务；罪行：和章荣高互相争斗，肆意株连平民，酿成十八人被杀惨案。；结局：肃奸逮捕，判处重刑。,罪行：和章荣高互相争斗，肆意株连平民，酿成十八人被杀惨案。,肃奸逮捕，判处重刑。
李弼臣,任丘,河北,沧州,[伪任丘警备司令；铁杆汉奸，参与反共誓约惨案，四处烧杀抢掠。],HIGH,惨案、烧杀、烧杀抢掠,参与反共誓约惨案,伪职：伪任丘警备司令；铁杆汉奸，参与反共誓约惨案，四处烧杀抢掠。；结局：任丘解放被俘处决,铁杆汉奸，参与反共誓约惨案，四处烧杀抢掠。,任丘解放被俘处决
李易山,朔县,山西,朔州,[我方干部叛变，日伪特务头目],HIGH,惨案,制造大量抓捕惨案,伪职：我方干部叛变，日伪特务头目；罪行：原朔县我方干部，1942 投敌，交出 260 多名地下人员名单，配合日伪在平鲁、朔县大搜捕，制造大量抓捕惨案。；结局：解放后公审处决,罪行：原朔县我方干部，1942 投敌，交出 260 多名地下人员名单，配合日伪在平鲁、朔县大搜捕，制造大量抓捕惨案。,解放后公审处决
李永平,山东诸城,山东,潍坊,"[军长, 司令]",HIGH,惨案、屠杀、大屠杀,制造泊里大屠杀惨案、制造泊里大屠杀,伪任职务：伪滨海警备军司令，盘踞泊里，制造泊里大屠杀惨案。结局：1944 年病死于青岛,伪任职务：伪滨海警备军司令，盘踞泊里，制造泊里大屠杀惨案。结局：1944 年病死于青岛,1944 年病死于青岛
李贤斋,山东,山东,,"[军长, 司令]",HIGH,屠杀,继续制造屠杀,伪任职务：接替李永平任伪滨海警备军司令，继续制造屠杀。结局：1945 年泊里解放被俘，公审处决,伪任职务：接替李永平任伪滨海警备军司令，继续制造屠杀。结局：1945 年泊里解放被俘，公审处决,1945 年泊里解放被俘，公审处决
杨开山,潘集、沿淮一带,安徽,淮南,[伪绥靖六团副团长],HIGH,奸淫、扫荡,,伪职：伪绥靖六团副团长；罪行：杨立言侄子，伪军副团长，随同扫荡根据地，劫掠乡村百姓，奸淫掳掠无恶不作。；结局：与杨立言同一场战斗被击毙。,罪行：杨立言侄子，伪军副团长，随同扫荡根据地，劫掠乡村百姓，奸淫掳掠无恶不作。,与杨立言同一场战斗被击毙。
杨敬之,,,,[伪锦西县伪县长],HIGH,惨案,参与下五家子惨案,伪职：伪锦西县伪县长；罪行：伪满正式建制后的锦西县主官；推行保甲连坐，强征劳工粮食，配合日伪对虹螺岘、缸窑岭山区义勇军进行讨伐，参与下五家子惨案相关治安部署。；结局：光复后汉奸罪判刑。,推行保甲连坐，强征劳工粮食，配合日伪对虹螺岘、缸窑岭山区义勇军进行讨伐，参与下五家子惨案相关治安部署。,光复后汉奸罪判刑。
杨金彪,井陉,河北,石家庄,[伪特务队长，屠杀抗日军民；日军投降后改头换面充当国民党县党部书记长。],HIGH,屠杀,,伪职：伪特务队长，屠杀抗日军民；日军投降后改头换面充当国民党县党部书记长。；结局：解放后清算处决,伪职：伪特务队长，屠杀抗日军民,解放后清算处决
杨金彪,井陉,河北,石家庄,[伪特务队长，屠杀抗日军民；日军投降后改头换面充当国民党县党部书记长。],HIGH,屠杀,,伪职：伪特务队长，屠杀抗日军民；日军投降后改头换面充当国民党县党部书记长。；结局：解放后清算处决,伪职：伪特务队长，屠杀抗日军民,解放后清算处决
杨顶恒,东海曹浦,江苏,连云港,[伪地方恶霸、武装头目],HIGH,屠杀,,伪职：伪地方恶霸、武装头目；罪行：抗战时期私养数百人武装，投靠日伪，屠杀抗日干部民兵；战后变成还乡团继续反攻倒算，制造多起血案。；结局：解放后公审处决。,罪行：抗战时期私养数百人武装，投靠日伪，屠杀抗日干部民兵,解放后公审处决。
林一,普陀沈家门,浙江,舟山,[日伪沈家门特务队长],HIGH,枪杀、扫荡,,伪职：日伪沈家门特务队长；罪行：地痞投敌，特务组长升特务队长；多次带领日军下乡扫荡，枪杀游击队员与群众，焚烧民房浙江省地方...。；结局：抗战时期被抗日武装锄奸处决。,多次带领日军下乡扫荡，枪杀游击队员与群众，焚烧民房浙江省地方...。,抗战时期被抗日武装锄奸处决。
柳世平,武清,天津,天津,[伪武清保安第一总队司令，势力覆盖安次、胜芳一带；廊坊头号铁杆汉奸，盘踞胜芳、葛渔城，多次扫荡大清河北，屠杀干部群众。],HIGH,屠杀、扫荡,,伪职：伪武清保安第一总队司令，势力覆盖安次、胜芳一带；廊坊头号铁杆汉奸，盘踞胜芳、葛渔城，多次扫荡大清河北，屠杀干部群众。；结局：1945 年天津被国民党逮捕，1946 公审枪决北方网,廊坊头号铁杆汉奸，盘踞胜芳、葛渔城，多次扫荡大清河北，屠杀干部群众。,1945 年天津被国民党逮捕，1946 公审枪决北方网
武俊杰,离石大武,山西,吕梁,[石门墕据点伪维持会总头目],HIGH,惨案,日伪军制造雒贵琦惨案,伪职：石门墕据点伪维持会总头目；罪行：土豪劣绅投敌；盘踞石门墕据点，抓捕、悬赏缉拿我方干部；引日伪军制造雒贵琦惨案，残害大批抗日军民。；结局：武工队锄奸击毙,引日伪军制造雒贵琦惨案，残害大批抗日军民。,武工队锄奸击毙
武海潭,霸县,河北,廊坊,[伪警备大队长，王德裕副手；驻策城据点，告密我方人员，制造多起惨案。],HIGH,惨案,制造多起惨案,伪职：伪警备大队长，王德裕副手；驻策城据点，告密我方人员，制造多起惨案。；结局：策城被攻克被俘处决,驻策城据点，告密我方人员，制造多起惨案。,策城被攻克被俘处决
段炳炎,五台,山西,忻州,[伪五台警备大队长],HIGH,惨案、扫荡,制造多起村庄惨案,伪职：伪五台警备大队长；罪行：多次进山扫荡，制造多起村庄惨案。；结局：解放后公审枪决,罪行：多次进山扫荡，制造多起村庄惨案。,解放后公审枪决
沈玉仁,涟水全境,江苏,淮安,[日伪密探（篾匠）],HIGH,惨案,直接引发大胡庄惨案,伪职：日伪密探（篾匠）；罪行：以走街串巷编织竹器为掩护搜集情报；告密新四军驻地，直接引发大胡庄惨案，致使大量指战员牺牲。；结局：解放后清算镇压。,告密新四军驻地，直接引发大胡庄惨案，致使大量指战员牺牲。,解放后清算镇压。
沈玉仁,涟水全境,江苏,淮安,[日伪密探（篾匠）],HIGH,惨案,直接引发大胡庄惨案,伪职：日伪密探（篾匠）；罪行：以走街串巷编织竹器为掩护搜集情报；告密新四军驻地，直接引发大胡庄惨案，致使大量指战员牺牲。；结局：解放后清算镇压。,告密新四军驻地，直接引发大胡庄惨案，致使大量指战员牺牲。,解放后清算镇压。
沙贵章,淮城（今淮安区）,江苏,淮安,[伪淮安县维持会会长、伪县长],HIGH,惨案,制造黄土桥惨案,伪职：伪淮安县维持会会长、伪县长；罪行：原国民党淮安县长，主动献城迎日军；组建伪警察大队，强征粮款、推行鸦片种植；制造黄土桥惨案，残害上百名抗日军民，是淮安头号巨奸。；结局：1945 年群众三万人大公审，公审枪决。,制造黄土桥惨案，残害上百名抗日军民，是淮安头号巨奸。,1945 年群众三万人大公审，公审枪决。
沙贵章,淮城（今淮安区）,江苏,淮安,[伪淮安县维持会会长、伪县长],HIGH,惨案,制造黄土桥惨案,伪职：伪淮安县维持会会长、伪县长；罪行：原国民党淮安县长，主动献城迎日军；组建伪警察大队，强征粮款、推行鸦片种植；制造黄土桥惨案，残害上百名抗日军民，是淮安头号巨奸。；结局：1945 年群众三万人大公审，公审枪决。,制造黄土桥惨案，残害上百名抗日军民，是淮安头号巨奸。,1945 年群众三万人大公审，公审枪决。
洪景祥,通辽,内蒙古,通辽,[伪兴安军中校参谋处长；出面诱降聚宝起义部队，欺骗谈判，配合日军屠杀起义人员。],HIGH,屠杀,配合日军屠杀,伪职：伪兴安军中校参谋处长；出面诱降聚宝起义部队，欺骗谈判，配合日军屠杀起义人员。；结局：1945 年被俘，判处重刑,出面诱降聚宝起义部队，欺骗谈判，配合日军屠杀起义人员。,1945 年被俘，判处重刑
洪福僧格,扎鲁特旗,内蒙古,通辽,[伪扎鲁特旗警务科长；假意参加起义，出卖加林台等人，直接制造起义警察惨案，双手沾满鲜血。],HIGH,惨案,直接制造起义警察惨案,伪职：伪扎鲁特旗警务科长；假意参加起义，出卖加林台等人，直接制造起义警察惨案，双手沾满鲜血。；结局：1945 年光复后公审枪决,假意参加起义，出卖加林台等人，直接制造起义警察惨案，双手沾满鲜血。,1945 年光复后公审枪决
熊大七,新建乐化本地人,江西,南昌,[日军靖安队头目],HIGH,惨案,捡门惨案,伪职：日军靖安队头目；罪行：充当日军向导，制造华盐桥、捡门惨案；结局：暂无明确结局记载,罪行：充当日军向导，制造华盐桥、捡门惨案,暂无明确结局记载
王德安,全椒县城及四乡,安徽,滁州,[全椒伪自卫队第四中队长],HIGH,奸淫、扫荡,,伪职：全椒伪自卫队第四中队长；罪行：青帮流氓投敌，收罗逃犯、叛变国军，武装横行全椒；连伪县长都难以约束；勒索奸淫，残害群众，配合日军扫荡古河周边抖音百科。；结局：1951 年镇反公审枪决抖音百科。,勒索奸淫，残害群众，配合日军扫荡古河周边抖音百科。,1951 年镇反公审枪决抖音百科。
王慎修,,,,[伪汾城县县长],HIGH,惨案,制造多起村庄惨案,伪职：伪汾城县县长；罪行：建立汾城伪政权，修筑炮楼，疯狂摊派粮款，制造多起村庄惨案。；结局：战后逮捕判刑,罪行：建立汾城伪政权，修筑炮楼，疯狂摊派粮款，制造多起村庄惨案。,战后逮捕判刑
王河,长治南关,山西,长治,[潞安宪兵队便衣特务头目（上党四大汉奸之一）],HIGH,惨案,制造多起惨案,伪职：潞安宪兵队便衣特务头目（上党四大汉奸之一）；罪行：叛变投敌，带领宪兵抓捕抗日军民；协助日军拿平民做活体解剖，制造多起惨案。；结局：长治解放公审枪决,协助日军拿平民做活体解剖，制造多起惨案。,长治解放公审枪决
王河,长治南关,山西,长治,[潞安宪兵队便衣特务头目（上党四大汉奸之一）],HIGH,惨案,制造多起惨案,伪职：潞安宪兵队便衣特务头目（上党四大汉奸之一）；罪行：叛变投敌，带领宪兵抓捕抗日军民；协助日军拿平民做活体解剖，制造多起惨案。；结局：长治解放公审枪决,协助日军拿平民做活体解剖，制造多起惨案。,长治解放公审枪决
王直平,,,,[伪任丘县县长；策划臭名昭著的反共誓约惨案，逼迫群众宣誓反共，残害大量平民百姓。],HIGH,惨案,名昭著的反共誓约惨案,伪职：伪任丘县县长；策划臭名昭著的反共誓约惨案，逼迫群众宣誓反共，残害大量平民百姓。；结局：1945 年公审判处死刑,策划臭名昭著的反共誓约惨案，逼迫群众宣誓反共，残害大量平民百姓。,1945 年公审判处死刑
王绍棠,,,,[伪浮山县县长],HIGH,惨案,制造东张万人坑惨案,伪职：伪浮山县县长；罪行：建立浮山伪政权，设立新民会、剿共委员会，制造东张万人坑惨案，残害大量百姓临汾新闻网。；结局：县城收复后逮捕判刑,罪行：建立浮山伪政权，设立新民会、剿共委员会，制造东张万人坑惨案，残害大量百姓临汾新闻网。,县城收复后逮捕判刑
甘珠尔扎布,辽宁彰武,辽宁,阜新,[伪兴安南警备军司令官、伪第九军管区中将司令官，司令部驻通辽；指挥兴安骑兵多次赴热河、冀东讨伐抗日武装，制造大量惨案，推行奴化教育，为日军搜集粮草马匹抖音百科。],HIGH,惨案,制造大量惨案,伪职：伪兴安南警备军司令官、伪第九军管区中将司令官，司令部驻通辽；指挥兴安骑兵多次赴热河、冀东讨伐抗日武装，制造大量惨案，推行奴化教育，为日军搜集粮草马匹抖音百科。；结局：1945 被俘，关押改造，1966 年特赦释放,指挥兴安骑兵多次赴热河、冀东讨伐抗日武装，制造大量惨案，推行奴化教育，为日军搜集粮草马匹抖音百科。,1945 被俘，关押改造，1966 年特赦释放
章伏龙,南昌麻丘荷埠周村人,江西,南昌,[汉奸向导],HIGH,惨案、屠杀、大屠杀,余人惨死的惨案、年令公庙大屠杀,伪职：汉奸向导；罪行：1942年令公庙大屠杀带路元凶，带领日军制造860余人惨死的惨案；结局：战后被依法处决,罪行：1942年令公庙大屠杀带路元凶，带领日军制造860余人惨死的惨案,战后被依法处决
